n	x	y	z
745	80.000000	21.093750	-5914.256067
746	80.000000	20.156250	-6014.730607
747	80.000000	19.218750	-5921.092079
748	80.000000	18.281250	-5885.829032
749	80.000000	17.343750	-5838.522407
750	80.000000	16.406250	-5770.821123
751	80.000000	15.468750	-5681.338927
752	80.000000	14.531250	-5568.393090
753	80.000000	13.593750	-5430.214473
754	80.000000	12.656250	-5265.429236
755	80.000000	11.718750	-5073.457016
756	80.000000	10.781250	-4854.747230
757	80.000000	9.843750	-4610.832716
758	80.000000	8.906250	-4344.210065
759	80.000000	7.968750	-4058.082194
760	80.000000	7.031250	-3756.032268
761	80.000000	6.093750	-3441.757584
