n	x	y	J	J0
533	58.281250	37.500000	1.602794	1.068529
534	58.968750	37.500000	1.610175	1.073450
535	59.656250	37.500000	1.781918	1.187945
536	60.000000	37.031250	5.178653	3.452436
537	60.000000	36.093750	5.590804	3.727203
538	60.000000	35.156250	6.172725	4.115150
539	60.000000	34.218750	6.759650	4.506433
540	60.000000	33.281250	7.337387	4.891591
541	60.000000	32.343750	7.900591	5.267061
542	60.000000	31.406250	8.444347	5.629564
543	60.000000	30.468750	8.964005	5.976003
544	60.000000	29.531250	9.455489	6.303659
545	60.000000	28.593750	9.915523	6.610349
546	60.000000	27.656250	10.341562	6.894374
547	60.000000	26.718750	10.731235	7.154157
548	60.000000	25.781250	11.081194	7.387463
549	60.000000	24.843750	11.385353	7.590235
550	60.000000	23.906250	11.632945	7.755297
551	60.000000	22.968750	11.807837	7.871891
552	60.000000	22.031250	11.892712	7.928475
553	60.000000	21.093750	11.903805	7.935870
554	60.000000	20.156250	11.917068	7.944712
555	60.000000	19.218750	11.623112	7.748741
556	60.000000	18.281250	11.438790	7.625860
557	60.000000	17.343750	11.277815	7.518543
558	60.000000	16.406250	11.123541	7.415694
559	60.000000	15.468750	10.958224	7.305483
560	60.000000	14.531250	10.764163	7.176108
561	60.000000	13.593750	10.528927	7.019285
562	60.000000	12.656250	10.245889	6.830593
563	60.000000	11.718750	9.913004	6.608670
564	60.000000	10.781250	9.531684	6.354456
565	60.000000	9.843750	9.106406	6.070937
566	60.000000	8.906250	8.645168	5.763445
567	60.000000	7.968750	8.160585	5.440390
568	60.000000	7.031250	7.670937	5.113958
569	60.000000	6.093750	7.199258	4.799505
570	60.000000	5.156250	6.767838	4.511892
571	60.000000	4.218750	6.402898	4.268599
572	60.000000	3.281250	6.271030	4.180686
573	60.000000	2.343750	6.009852	4.006568
574	60.000000	1.406250	5.596891	3.731261
575	60.000000	0.468750	5.127666	3.418444
576	60.281250	0.000000	0.623179	0.415453
577	60.843750	0.000000	0.480875	0.320584
578	61.406250	0.000000	0.345994	0.230663
579	61.968750	0.000000	0.208188	0.138792
580	62.531250	0.000000	0.047690	0.031793
581	63.093750	0.000000	-0.158317	-0.105545
582	63.656250	0.000000	-0.427966	-0.285311
583	64.218750	0.000000	-0.764675	-0.509783
584	64.500000	0.468750	-4.227584	-2.818390
585	64.500000	1.406250	-4.867739	-3.245159
586	64.500000	2.343750	-5.592885	-3.728590
587	64.500000	3.281250	-6.173651	-4.115767
588	64.500000	4.218750	-6.537472	-4.358315
589	64.500000	5.156250	-7.271571	-4.847714
590	64.500000	6.093750	-7.964664	-5.309776
591	64.500000	7.031250	-8.568455	-5.712303
592	64.500000	7.968750	-9.091311	-6.060874
593	64.500000	8.906250	-9.549111	-6.366074
594	64.500000	9.843750	-9.955813	-6.637209
595	64.500000	10.781250	-10.320812	-6.880541
596	64.500000	11.718750	-10.648857	-7.099238
597	64.500000	12.656250	-10.940558	-7.293705
598	64.500000	13.593750	-11.192663	-7.461775
599	64.500000	14.531250	-11.397888	-7.598592
600	64.500000	15.468750	-11.544437	-7.696291
